Focus ID; Focus Name; Focus Description; Notes
MDC_export_catholic_soap;Export Catholic Soap;;Empty description (localization key exists);
MDC_War_Goal4;Secure Southern Mexico;;Empty description (localization key exists);
MDC_Tractor_factory;Tractor Factories;;Empty description (localization key exists);
MDC_Invest_in_synthetic_resources;Invest In Synthetic Resources;;Empty description (localization key exists);
MDC_Developing_Cristero_Tanks;Developing Cristero Tanks;;Empty description (localization key exists);
MDC_Cristero_Paratroopers;Heavenly Paratroopers;;Empty description (localization key exists);
MDC_Adopt_Strict_Formations_Tactics;Adopt Strict Formation Tactics;;Empty description (localization key exists);
MDC_Bless_the_Pilots;Bless the Pilots;;Empty description (localization key exists);
MDC_Artillery_Modernization;Artillery Modernization;;Empty description (localization key exists);
MDC_Promoting_Cristero_Veterans;Promoting Cristero Veterans;;Empty description (localization key exists);
MDC_Flotilla_Tactics;Flotilla Tactics;;Empty description (localization key exists);
MDC_Zacatecs_Industry_Project;Zacatecs Industry Project;;Empty description (localization key exists);
MDC_Open_New_Universties;Open New Universities;;Empty description (localization key exists);
SOR_appeal_to_idaho;Appeal to Idaho;;Empty description (localization key exists);
SOR_establish_a_cult_of_personality;Establish a Cult of Personality;;Empty description (localization key exists);
SOR_start_the_dream;Start the Dream;;Empty description (localization key exists);
SOR_execute_reed;Execute Reed;;Empty description (localization key exists);
SOR_inland_industry;Inland Industry;;Empty description (localization key exists);
SOR_respect_democracy;Respect Democracy;;Empty description (localization key exists);
SOR_remove_our_obstacles;Remove Our Obstacles;;Empty description (localization key exists);
SOR_establish_the_monarchy;Establish the Monarchy;;Empty description (localization key exists);
SOR_a_unification_vote_in_washington;A Unification Vote in Washington;;Empty description (localization key exists);
SOR_hail_to_the_chief;Hail to the Chief;;Empty description (localization key exists);
SOR_the_church;The Church;;Empty description (localization key exists);
SOR_overthrow_the_governor;Overthrow the Governor;;Empty description (localization key exists);
SOR_victory_of_the_church;Victory of the Church;;Empty description (localization key exists);
SOR_ships;Ships;;Empty description (localization key exists);
SOR_outlaw_protestantism;Outlaw Protestantism;;Empty description (localization key exists);
SOR_a_vote_in_vancouver;A Vote in Vancouver;;Empty description (localization key exists);
SOR_destroy_western_ideology;Destroy Western Ideology;;Empty description (localization key exists);
SOR_stability_in_the_governor;Stability in the Governor;;Empty description (localization key exists);
SOR_establish_the_parks;Establish The Parks;;Empty description (localization key exists);
SOR_question_the_methods_of_reunification;Question the Methods Of Reunification;;Empty description (localization key exists);
SOR_down_with_the_opposition;Down With The Opposition;;Empty description (localization key exists);
SOR_bigger_ships;Bigger Ships;;Empty description (localization key exists);
SOR_guided_by_roosevelt;Guided By Roosevelt;;Empty description (localization key exists);
SOR_finish_off_mormonism;Finish Off Mormonism;;Empty description (localization key exists);
SOR_crossing_the_columbia;Crossing The Columbia;;Empty description (localization key exists);
SOR_bigger_guns;Bigger Guns;;Empty description (localization key exists);
SOR_one_party_state;One Party State;;Empty description (localization key exists);
SOR_all_seeing;All Seeing;;Empty description (localization key exists);
SOR_denounce_science;Denounce Science;;Empty description (localization key exists);
SOR_take_down_columbia;Take Down Columbia;;Empty description (localization key exists);
SOR_total_church_control;Total Church Control;;Empty description (localization key exists);
SOR_sorrows_on_the_snake;Sorrows on the Snake;;Empty description (localization key exists);
SOR_the_oregon_territory;The Oregon Territory;;Empty description (localization key exists);
SOR_advanced_manufacturing;Advanced Manufacturing;;Empty description (localization key exists);
SOR_traitors_of_the_south;Traitors of the South;;Empty description (localization key exists);
SOR_develop_the_economy;Develop The Economy;;Empty description (localization key exists);
SOR_labors_of_a_greater_society;Labors Of a Greater Society;;Empty description (localization key exists);
SOR_take_down_washington;Take down Washington;;Empty description (localization key exists);
SOR_a_dream_no_more;A Dream No More;;Empty description (localization key exists);
SOR_guns;Guns;;Empty description (localization key exists);
SOR_portland_industry;Portland Industry;;Empty description (localization key exists);
SOR_reunified_forever;Reunified Forever;;Empty description (localization key exists);
SOR_fantasy_and_freedom;Fantasy And Freedom;;Empty description (localization key exists);
SOR_rework_education;Rework Education;;Empty description (localization key exists);
SOR_developments_near_the_sea;Developments Near the Sea;;Empty description (localization key exists);
SOR_give_in_to_california;Give in to California;;Empty description (localization key exists);
SOR_expand_the_powers_of_the_church;Expand the Powers of the Church;;Empty description (localization key exists);
SOR_developments_of_a_successful_oregon;Developments Of A Successful Oregon;;Empty description (localization key exists);
SOR_bend_to_the_activists;Bend to the Activists;;Empty description (localization key exists);
SOR_common_core;Common Core;;Empty description (localization key exists);
SOR_planes;Planes;;Empty description (localization key exists);
SOR_fanatical_reedism;Fanatical Reedism;;Empty description (localization key exists);
SOR_all_powerful;All Powerful;;Empty description (localization key exists);
SOR_traitors_of_the_north;Traitors of the North;;Empty description (localization key exists);
SOR_finish_off_the_dream;Finish Off the Dream;;Empty description (localization key exists);
SOR_slaves_in_mackay;Slaves in Mackay;;Empty description (localization key exists);
SOR_establish_just_a_cult;Establish Just a Cult;;Empty description (localization key exists);
SOR_rehabilitate_the_redwood_parks;Rehabilitate the Redwood Parks;;Empty description (localization key exists);
SOR_victory_for_the_people;Victory for "the People;;Empty description (localization key exists);
SOR_order_restored;Order Restored;;Empty description (localization key exists);
SOR_a_direct_possession;A Direct Possession;;Empty description (localization key exists);
SOR_the_cascadian_dream;The Cascadian Dream;;Empty description (localization key exists);
SOR_spread_the_revolution_north;Spread The Revolution North;;Empty description (localization key exists);
SOR_outlaw_judaism;Outlaw Judaism;;Empty description (localization key exists);
SOR_its_all_comin_together;Its all Comin Together;;Empty description (localization key exists);
SOR_secular_policy;Secular Policy;;Empty description (localization key exists);
SOR_bigger_planes;Bigger planes;;Empty description (localization key exists);
PON_Ontario_Tank_corps;Ontario Tank Corps;;Empty description (localization key exists);
PON_Railway_expansions;Railway Expansions;;Empty description (localization key exists);
PON_Support_Weapons;Support Weapons;;Empty description (localization key exists);
PON_Dcotrine2;Doctrine Effort 2;;Empty description (localization key exists);
PON_Dcotrine1;Doctrine Effort;;Empty description (localization key exists);
PON_Ontario_destiny;Ontario's Destiny;;Empty description (localization key exists);
PON_The_London_Ontario_Plants;The London, Ontario Plants;;Empty description (localization key exists);
PON_French_Canadians_Equality;French-Canadian Equality;;Empty description (localization key exists);
PON_Ontario_steel_expansion;Ontario Steel Expansion;;Empty description (localization key exists);
PON_1936_Ontario_Elections;1936 Ontario Elections;;Empty description (localization key exists);
PON_Ram_Tank;Ram Tank;;Empty description (localization key exists);
PON_Arenals_ACt;Arsenals Act;;Empty description (localization key exists);
PON_A_new_constitution;A New Constitution;;Empty description (localization key exists);
PON_Collective_industries;Collective Industries;;Empty description (localization key exists);
PON_The_Territories;The Territories;;Empty description (localization key exists);
PON_capital_ships_effort;Capital Ships Effort;;Empty description (localization key exists);
PON_Marshal_Law_In_Qubec;Martial Law In Quebec;;Empty description (localization key exists);
PON_Spruce_Goose;Spruce Goose;;Empty description (localization key exists);
PON_Auto_Assembly_lines;Auto Assembly Lines;;Empty description (localization key exists);
PON_CAS_effort;CAS Effort;;Empty description (localization key exists);
PON_Attack_the_maritimes;Attack the Maritimes;;Empty description (localization key exists);
PON_scavenge_for_old_destroyers;Scavenge for Old Destroyers;;Empty description (localization key exists);
PON_rocket_effort;Rocket Effort;;Empty description (localization key exists);
PON_limited_british_investment;Limited British Investment;;Empty description (localization key exists);
PON_Send_envoy_to_great_britian;Send Envoy to Great Britain;;Empty description (localization key exists);
PON_destroyer_effort;Destroyer Effort;;Empty description (localization key exists);
PON_Women_in_the_factories;Women in the Factories;;Empty description (localization key exists);
PON_Civilian_Expansion1;Civilian Expansion1;;Empty description (localization key exists);
PON_Expand_ontarios_boarders;Expand Ontario's Borders;;Empty description (localization key exists);
PON_British_columbia;British Columbia;;Empty description (localization key exists);
PON_James_Simpson;James Simpson;;Empty description (localization key exists);
PON_bomber_focus;Bomber Focus;;Empty description (localization key exists);
PON_Dcotrine3;Doctrine Effort 3;;Empty description (localization key exists);
PON_fighter_focus;Fighter Focus;;Empty description (localization key exists);
PON_Establish_bureau_of_police;Establish Bureau of Police;;Empty description (localization key exists);
PON_Weapons1;Light Machine Gun Development;;Empty description (localization key exists);
